,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,dates
136,2020/1/15,ä¸_,CN,æ¹___,420000,,,41,0,12,2,2020/1/15
137,2020/1/15,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,41,0,12,2,2020/1/15
138,2020/1/16,ä¸_,CN,,,,,45,0,15,2,2020/1/16
139,2020/1/16,ä¸_,CN,æ¹___,420000,,,45,0,15,2,2020/1/16
140,2020/1/16,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,45,0,15,2,2020/1/16
141,2020/1/16,_¥æ_,JP,,,,,1,0,0,0,2020/1/16
142,2020/1/16,æ³°å_,TH,,,,,1,0,0,0,2020/1/16
143,2020/1/17,ä¸_,CN,,,,,62,0,19,2,2020/1/17
144,2020/1/17,ä¸_,CN,æ¹___,420000,,,62,0,19,2,2020/1/17
145,2020/1/17,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,62,0,19,2,2020/1/17
146,2020/1/18,ä¸_,CN,,,,,198,0,24,3,2020/1/18
147,2020/1/18,ä¸_,CN,æ¹___,420000,,,121,0,24,3,2020/1/18
148,2020/1/18,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,121,0,24,3,2020/1/18
149,2020/1/19,ä¸_,CN,,,,,275,0,25,4,2020/1/19
150,2020/1/19,ä¸_,CN,æ¹___,420000,,,198,0,25,3,2020/1/19
151,2020/1/19,ä¸_,CN,æ¹___,420000,æ­¦æ_å¸,420100,198,0,25,3,2020/1/19
152,2020/1/19,ä¸_,CN,å¹¿ä__,440000,,,1,0,0,0,2020/1/19
153,2020/1/19,ä¸_,CN,å¹¿ä__,440000,æ·±å_å¸,440300,1,0,0,0,2020/1/19
154,2020/1/20,ä¸_,CN,,,,,291,54,25,6,2020/1/20
155,2020/1/20,ä¸_,CN,__º¬å¸,110000,,,5,0,0,0,2020/1/20
156,2020/1/20,ä¸_,CN,____,220000,,,0,1,0,0,2020/1/20
157,2020/1/20,ä¸_,CN,ä¸_µ·å¸,310000,,,1,0,0,0,2020/1/20
158,2020/1/20,ä¸_,CN,ä¸_µ·å¸,310000,å¤___¥æ²ª,,1,0,0,0,2020/1/20
159,2020/1/20,ä¸_,CN,æµ___,330000,,,0,16,0,0,2020/1/20
160,2020/1/20,ä¸_,CN,å®_¾½_,340000,,,0,1,0,0,2020/1/20
161,2020/1/20,ä¸_,CN,æ±_¥¿_,360000,,,0,2,0,0,2020/1/20
162,2020/1/20,ä¸_,CN,å±±ä__,370000,,,0,1,0,0,2020/1/20
163,2020/1/20,ä¸_,CN,æ¹___,420000,,,270,0,25,6,2020/1/20
164,2020/1/20,ä¸_,CN,å¹¿ä__,440000,,,14,7,0,0,2020/1/20
165,2020/1/20,ä¸_,CN,å¹¿è¥¿å£__²»_,450000,,,0,1,0,0,2020/1/20
166,2020/1/20,ä¸_,CN,æµ·å__,460000,,,0,1,0,0,2020/1/20
167,2020/1/20,ä¸_,CN,____,510000,,,0,3,0,0,2020/1/20
168,2020/1/20,ä¸_,CN,è´µå__,520000,,,0,1,0,0,2020/1/20
169,2020/1/20,ä¸_,CN,äº___,530000,,,0,1,0,0,2020/1/20
170,2020/1/20,ä¸_,CN,å®_____²»_,640000,,,0,1,0,0,2020/1/20
171,2020/1/20,_¥æ_,JP,,,,,1,0,0,0,2020/1/20
172,2020/1/20,_©å_,KR,,,,,1,0,0,0,2020/1/20
173,2020/1/20,æ³°å_,TH,,,,,2,0,0,0,2020/1/20
174,2020/1/21,ä¸_,CN,,,,,440,37,25,9,2020/1/21
175,2020/1/21,ä¸_,CN,__º¬å¸,110000,,,10,0,0,0,2020/1/21
176,2020/1/21,ä¸_,CN,__º¬å¸,110000,æ­¦æ__¥äº¬,,1,0,0,0,2020/1/21
177,2020/1/21,ä¸_,CN,__º¬å¸,110000,è¥¿å__,110102,1,0,0,0,2020/1/21
178,2020/1/21,ä¸_,CN,__º¬å¸,110000,ä¸°å__,110106,1,0,0,0,2020/1/21
